Object ID,County GNIS Code,Geographic Identifier - FIPS Code,Area of Land (Square Meters),Area of Water (Square Meters),Name,State,Median Household Income in past 12 months (inflation-adjusted dollars to last year of 5-year range),Median Household Income in past 12 months (inflation-adjusted dollars to last year of 5-year range) - Margin of Error,"Median Household Income in past 12 months, Householder under 25 years","Median Household Income in past 12 months, Householder under 25 years - Margin of Error","Median Household Income in past 12 months, Householder 25 to 44 years","Median Household Income in past 12 months, Householder 25 to 44 years - Margin of Error","Median Household Income in past 12 months, Householder 45 to 64 years","Median Household Income in past 12 months, Householder 45 to 64 years - Margin of Error","Median Household Income in past 12 months, Householder 65 years and over","Median Household Income in past 12 months, Householder 65 years and over - Margin of Error","Median Household Income in past 12 months, Black or African American Alone Householder","Median Household Income in past 12 months, Black or African American Alone Householder - Margin of Error","Median Household Income in past 12 months, American Indian and Alaska Native Alone Householder","Median Household Income in past 12 months, American Indian and Alaska Native Alone Householder - Margin of Error","Median Household Income in past 12 months, Asian Alone Householder","Median Household Income in past 12 months, Asian Alone Householder - Margin of Error","Median Household Income in past 12 months, Native Hawaiian and Other Pacific Islander Alone Householder","Median Household Income in past 12 months, Native Hawaiian and Other Pacific Islander Alone Householder - Margin of Error","Median Household Income in past 12 months, Some Other Race Alone Householder","Median Household Income in past 12 months, Some Other Race Alone Householder - Margin of Error","Median Household Income in past 12 months, Two or More Races Householder","Median Household Income in past 12 months, Two or More Races Householder - Margin of Error","Median Household Income in past 12 months, White alone, not Hispanic Householder","Median Household Income in past 12 months, White alone, not Hispanic Householder - Margin of Error","Median Household Income in past 12 months, Hispanic or Latino Householder","Median Household Income in past 12 months, Hispanic or Latino Householder - Margin of Error",Total Households,Total Households - Margin of Error,Households with any self-employment income in past 12 months,Households with any self-employment income in past 12 months - Margin of Error,Households with no self-employment income in past 12 months,Households with no self-employment income in past 12 months - Margin of Error,Percent of households with any self-employment income,Percent of households with any self-employment income - Margin of Error,Shape Area,Shape Length,Update Field
1,00161526,01001,1539631461,25677536,Autauga County,Alabama,69841,5512,54527,8489,80670,4432,85992,5525,47114,3721,53861,5482,,,61375,40999,,,32394,28315,93159,14232,76976,6419,92728,18340,22523,431,1579,288,20944,524,7,1.27163593141786,2208587756.70313,249970.191787819,Yes
2,00161527,01003,4117725048,1132887203,Baldwin County,Alabama,75019,2751,29293,7046,85201,4508,88873,6864,59198,2953,39015,5628,62438,13503,97841,27530,,,58804,18700,79085,10777,81134,2798,65116,16165,94642,1316,11004,965,83638,1509,11.6,1.00673276712226,5911174507.65039,537587.260724824,Yes
3,00161528,01005,2292160151,50523213,Barbour County,Alabama,44290,2762,27025,16523,45574,6052,54085,10639,40305,5531,28125,2586,25625,11045,64196,27133,,,44243,18523,28828,19295,65577,6986,38500,24492,9080,315,798,172,8282,323,8.8,1.8695757228667,3257906793.03906,320882.847904391,Yes
4,00161529,01007,1612188713,9572302,Bibb County,Alabama,51215,6678,,,59395,10881,60320,14012,37938,4465,25833,7759,,,,,,,,,,,60817,6218,,,7571,288,515,185,7056,367,6.8,2.42979536528637,2311977954.53125,227920.060972415,Yes
5,00161530,01009,1670259100,14860281,Blount County,Alabama,61096,3328,39425,15908,73482,5581,70522,10399,44642,3493,58036,53231,60536,35040,,,,,63971,34785,44583,7085,62636,3845,48777,18273,21977,403,2394,310,19583,500,10.9,1.39635031352992,2456904210.29297,292630.287003881,Yes
6,00161531,01011,1613083468,6030667,Bullock County,Alabama,36723,6836,82719,35126,42988,14909,30507,9623,23854,18705,30149,7651,,,,,,,69028,33697,11227,5795,65063,21521,64844,28166,3453,245,244,125,3209,234,7.1,3.58515223685083,2262904519.98438,249092.797012036,Yes
7,00161532,01013,2012002548,2701199,Butler County,Alabama,44881,4130,40333,17426,41630,8162,55250,12802,41151,4573,34870,5353,,,,,,,,,,,54739,8739,,,7262,313,477,127,6785,317,6.6,1.7257622285067,2794760978.60156,221283.357190429,Yes
8,00161533,01015,1569248377,16534047,Calhoun County,Alabama,55826,2168,33683,15617,60761,4772,62076,5251,44974,2979,37484,4732,,,64219,36314,,,48261,39140,42167,26735,60753,2637,50375,24477,45125,708,3790,499,41335,774,8.4,1.0979374171383,2300852366.69531,263781.308198152,Yes
9,00161534,01017,1545068570,16988729,Chambers County,Alabama,49295,5005,,,59444,6701,59619,13671,38722,4598,41660,6309,,,,,,,,,93250,85783,57748,7047,82768,25416,13419,476,937,280,12482,502,7,2.07184055775882,2222662395.77734,208606.041359375,Yes
10,00161535,01019,1433620850,120310807,Cherokee County,Alabama,50769,4891,48375,12670,63163,6626,63694,7981,40837,3177,49524,31975,60903,30048,16058,4234,,,62744,35481,44572,11579,50978,4819,44693,26140,10477,416,802,201,9675,435,7.7,1.89425832416574,2276002215.98828,237079.593526513,Yes
11,00161536,01021,1794438908,20592054,Chilton County,Alabama,61873,2954,42474,10173,69548,9983,72235,11142,39259,6409,35250,8396,92995,1613,,,,,50933,35830,53367,13750,64232,4157,62500,20324,17554,415,1479,308,16075,509,8.4,1.7432428049239,2578783801.48828,248625.3232346,Yes
12,00161537,01023,2365900084,19114321,Choctaw County,Alabama,44483,4856,28233,27303,54950,35951,53818,3470,34474,4782,30519,4466,,,,,,,,,31083,23460,52608,4102,73221,59571,5174,261,307,110,4867,293,5.9,2.104839660821,3327536543.99609,324953.781116769,Yes
13,00161538,01025,3207494083,36657889,Clarke County,Alabama,49167,4873,33281,7729,44023,9399,57188,6167,44978,9607,36368,8058,,,,,,,,,48750,26340,63250,6760,,,8452,367,682,190,7770,363,8.1,2.22051598165976,4492990574.91797,455174.014675145,Yes
14,00161539,01027,1564255426,5281616,Clay County,Alabama,51852,3549,,,51004,5621,74529,8785,37131,6034,30238,11214,,,,,,,65976,32075,,,54106,4786,72708,44616,5765,262,623,185,5142,297,10.8,3.17121534035645,2251227965.31641,244308.319068432,Yes
15,00161540,01029,1450666453,2352217,Cleburne County,Alabama,53319,4481,45588,8681,66369,16074,88011,6663,39967,5552,,,,,,,,,54394,39100,,,57718,6937,,,5849,215,347,123,5502,223,5.9,2.09158579172974,2103518737.47266,264790.945892541,Yes
16,00161541,01031,1758565928,3907189,Coffee County,Alabama,64672,3538,45106,18189,70132,7095,80591,4883,48142,5917,34327,8875,84688,46075,36875,33845,,,100329,10932,71875,11193,73293,3968,51940,25508,20860,435,2001,343,18859,565,9.6,1.63208232546671,2426766484.71875,203468.714405279,Yes
17,00161542,01033,1535740663,79162005,Colbert County,Alabama,56736,4001,32462,20483,68370,9890,69403,8465,42586,5113,34525,4002,,,154330,76224,,,26667,4711,48707,5598,64018,3670,47957,14295,24217,489,1728,337,22489,558,7.1,1.38410526258753,2394899037.33594,262716.07300821,Yes
18,00161543,01035,2202213383,6426488,Conecuh County,Alabama,42266,4545,2499,,49875,11944,46166,6786,37279,7551,37548,4723,,,,,,,,,49792,13672,54794,5450,,,4528,265,270,105,4258,269,6,2.29249505335188,3042810006.20703,309795.324344162,Yes
19,00161544,01037,1685846963,39991153,Coosa County,Alabama,57063,5500,,,61344,17596,67555,5362,49405,7401,41633,11360,,,,,,,,,64688,49703,65045,9092,,,4201,203,295,116,3906,217,7,2.74031877657376,2456907531.85156,209661.848356377,Yes
20,00161545,01039,2669165560,34194851,Covington County,Alabama,50886,4230,28819,12621,59486,10362,64444,7506,37188,5035,31438,6381,31750,1454,,,,,51544,10672,61875,28568,55536,5596,49297,2681,14495,307,1106,200,13389,339,7.6,1.37028950381038,3710244590.86719,288483.993456594,Yes
21,00161546,01041,1576952763,5388562,Crenshaw County,Alabama,49040,4592,35068,32542,63750,10564,48925,4420,37202,5504,29052,8713,,,,,,,,,58555,6455,57857,8480,51037,11256,5075,176,523,121,4552,212,10.3,2.35729843908321,2194020409.70703,286131.193014352,Yes
22,00161547,01043,1902965941,52529994,Cullman County,Alabama,60916,2736,49974,10664,72998,3643,70597,5358,41574,2060,73255,10563,51721,8601,65550,5489,,,54167,37636,70491,21758,60706,2714,62069,24634,34543,607,4437,548,30106,734,12.8,1.5702893742395,2861200514.49609,295392.661314247,Yes
23,00161548,01045,1453276164,4051341,Dale County,Alabama,53955,2136,37861,7403,59656,8716,59340,5313,47486,3877,34447,4116,50500,31529,37386,11150,,,,,66912,11510,60825,3593,61458,30028,19769,356,1409,268,18360,420,7.1,1.3495683768509,2007843657.10547,200998.099640657,Yes
24,00161549,01047,2534919602,39124772,Dallas County,Alabama,36810,3543,13353,11016,36316,17626,42068,7428,31493,3153,29631,2559,21912,15257,,,,,,,38322,3846,63039,6138,2499,,15416,426,1488,262,13928,468,9.7,1.67847200206396,3615260196.78125,375473.730291974,Yes
25,00161550,01049,2012620262,4107136,DeKalb County,Alabama,51149,2343,36609,9965,60271,5623,57892,3640,36975,6580,26438,23519,52664,5297,,,,,42738,10710,43819,10306,52448,2546,44345,7090,25946,462,3577,409,22369,591,13.8,1.55711931847307,2973711650.0625,274855.552952982,Yes
26,00161551,01051,1601948960,99777799,Elmore County,Alabama,75553,3115,41360,9899,75849,4335,92777,6336,62021,4123,46714,8026,83000,20581,70313,55662,,,112054,58419,46071,13273,84413,3641,62873,24057,32529,559,2524,408,30005,718,7.8,1.24715767195855,2404342396.28125,273321.890654712,Yes
27,00161552,01053,2448595164,20024887,Escambia County,Alabama,44447,3904,58380,12470,44020,6651,48098,5520,41102,7443,32453,4556,66667,15898,,,,,23858,23034,39286,16320,52071,5858,,,12781,438,951,238,11830,503,7.4,1.84459795985689,3379387358.91016,290489.662897321,Yes
28,00161553,01055,1385916764,35022972,Etowah County,Alabama,53070,1864,33561,8660,57088,4740,63048,4136,43377,1836,35958,2456,70288,46253,122870,56798,,,51667,16463,39036,9576,57221,2720,53039,3244,39160,581,4125,539,35035,852,10.5,1.36750306065953,2074840408.55078,252677.627092227,Yes
29,00161554,01057,1625693253,4330881,Fayette County,Alabama,50733,5743,47813,29201,59970,18954,66431,9621,34450,4625,,,,,,,,,,,,,54867,8154,,,6051,253,554,142,5497,290,9.2,2.31528703943013,2362301126.24609,222371.138651055,Yes
30,00161555,01059,1641945980,32539346,Franklin County,Alabama,51493,5249,48750,25608,69736,4769,50000,11941,38352,6705,,,56484,27576,,,,,39948,13956,59130,28269,53911,5845,44806,8178,11593,368,1467,332,10126,467,12.7,2.8354863108331,2467990401.71094,210530.791667798,Yes
31,00161556,01061,1487908432,11567409,Geneva County,Alabama,50951,4889,33194,32061,59884,8811,65718,8919,41327,3304,28144,7282,,,81354,734,,,29648,17824,34375,10450,57711,4335,39038,22016,10550,270,1005,228,9545,342,9.5,2.1473423120458,2051355981.80078,212054.232608131,Yes
32,00161557,01063,1675782054,33416150,Greene County,Alabama,31495,4589,,,27341,6872,36010,5345,29327,13980,26201,3548,,,,,,,,,,,66932,31862,,,3037,199,280,129,2757,211,9.2,4.20443291758922,2428713174.98047,429975.2631837,Yes
33,00161558,01065,1667926667,32403804,Hale County,Alabama,41325,5403,,,52718,12109,47727,15454,28085,5212,27120,7934,,,,,,,,,,,67734,9311,,,5541,253,293,114,5248,263,5.3,2.04317427747163,2411244645.85156,299733.019950393,Yes
34,00161559,01067,1455293386,16620066,Henry County,Alabama,60135,6853,95230,68301,71349,7661,74036,9626,37227,3400,29886,9319,,,160000,77182,,,,,,,68970,4655,,,6684,311,498,133,6186,302,7.5,1.95939503193919,2031500362.63867,199590.210860242,Yes
35,00161560,01069,1501742235,4795415,Houston County,Alabama,57531,1310,37159,4526,59371,1608,69852,3759,47104,2380,36483,2245,55000,52094,111250,24359,,,60920,14611,54565,10682,66829,1676,56591,15864,42581,402,3879,309,38702,462,9.1,0.720561441351334,2063524545.11328,246322.916563862,Yes
36,00161561,01071,2792044644,126334711,Jackson County,Alabama,49454,2597,47250,11389,51480,9083,57975,7536,42868,3631,38555,10277,58750,42020,53056,29990,,,27467,17242,41235,8570,50986,3039,29891,10370,21186,427,1553,264,19633,464,7.3,1.23731666199343,4336180086.54688,321762.71709507,Yes
37,00161562,01073,2878876058,32657853,Jefferson County,Alabama,64589,1226,31827,2574,70336,2191,77908,3394,50883,1866,45810,1809,41905,16243,86549,8549,47151,24985,50202,3888,59633,7539,85180,2464,50441,3402,268911,1573,22210,1170,246701,1939,8.3,0.432397534401449,4203366090.05859,349978.441411895,Yes
38,00161563,01075,1566544672,1600679,Lamar County,Alabama,47447,5429,61042,17003,63919,4943,60698,12830,35360,7366,23867,10549,,,,,,,,,,,53031,6847,,,4987,255,302,137,4685,254,6.1,2.7296355749826,2275683924.40625,206364.687540945,Yes
39,00161564,01077,1730157475,133597557,Lauderdale County,Alabama,59082,3460,24517,4207,65665,7662,76440,7677,48680,3114,33945,8309,53750,11801,50491,39855,,,67540,14959,50470,7800,63331,5289,62054,12784,38777,507,3105,383,35672,631,8,0.98213456479232,2777329127.75391,282882.832712973,Yes
40,00161565,01079,1788864400,68682236,Lawrence County,Alabama,60040,5520,47149,13844,76550,9136,67969,7157,44627,6859,41875,7416,99250,25955,121382,2004,,,44333,23699,54632,22306,62788,6570,53750,10710,13145,324,1134,223,12011,383,8.6,1.68308378864829,2743021922.58594,238127.799836349,Yes
41,00161566,01081,1573532974,21510597,Lee County,Alabama,61123,3017,12044,2982,65257,4943,81667,7503,56215,4616,42878,3357,85543,21403,90536,22916,,,37865,18865,58104,22127,70334,4323,44912,10027,67944,759,5813,580,62131,912,8.6,0.848277070069176,2253833613.13672,241936.341984946,Yes
42,00161567,01083,1459209232,113398272,Limestone County,Alabama,83534,2861,42261,11809,93304,5593,102341,5946,53103,3510,62520,12903,55541,4318,147039,89617,,,50259,26563,82821,17502,87411,4286,53542,17104,40021,619,4278,647,35743,873,10.7,1.60817498785073,2338327052.80078,207527.334641196,Yes
43,00161568,01085,1854651875,23271196,Lowndes County,Alabama,35160,4823,,,27040,7418,45833,7421,26951,9495,26819,2480,,,,,,,,,,,80476,28316,,,4161,161,270,110,3891,193,6.5,2.63164588964666,2627716273.94141,283872.006655391,Yes
44,00161569,01087,1576435599,11765503,Macon County,Alabama,45951,4468,,,45071,9498,51125,7040,45377,5075,40838,4184,,,,,,,18750,15809,78438,29586,80313,14709,,,7151,243,621,185,6530,307,8.7,2.57016528604978,2233558439.13281,249787.078930087,Yes
45,00161570,01089,2076138753,28783868,Madison County,Alabama,83528,1460,35554,5392,88422,3698,103998,4574,64177,2278,55769,3392,89688,23677,109926,16759,,,43977,12518,78085,8295,96685,2478,58943,7042,162469,1068,15602,1242,146867,1641,9.6,0.761842674845237,3126309078.41797,296070.746787296,Yes
46,00161572,01091,2530155124,14951685,Marengo County,Alabama,44205,5009,36250,17635,40689,17126,57713,16300,40863,6383,28911,6097,,,,,,,2499,,,,77348,9651,18856,18683,7615,294,470,147,7145,337,6.2,1.91563675577315,3568505100.49219,316844.29248399,Yes
47,00161573,01093,1922657200,3183480,Marion County,Alabama,50714,4617,38438,17920,70039,13348,56571,6485,33977,7260,27344,15305,11349,195,,,,,,,64107,60667,52060,5001,58343,18814,10874,374,929,169,9945,370,8.5,1.52613583841936,2818112634.87891,229609.413011095,Yes
48,00161574,01095,1465531837,148497637,Marshall County,Alabama,60946,2309,43297,5312,68401,5610,71655,3721,47965,3762,39773,12774,68526,53475,105795,53461,,,53765,9934,52774,10613,62557,3453,54877,6759,35963,451,3821,466,32142,620,10.6,1.28890748986536,2374686949.75,273860.436405925,Yes
49,00161575,01097,3184064132,1074011164,Mobile County,Alabama,58119,1304,31380,3234,61862,3132,68790,2623,47721,2049,40950,1911,53438,21364,71141,12223,2499,,55180,7470,59025,9040,71590,2017,58940,8028,160507,1367,12341,781,148166,1548,7.7,0.482156698841897,4467024268.62695,446559.522429163,Yes
50,00161576,01099,2656469672,22609681,Monroe County,Alabama,40225,7307,23939,8898,51806,21598,52077,9767,35154,4662,29049,3547,35583,22119,58000,22220,,,,,,,59211,6222,,,7396,287,366,117,7030,298,4.9,1.57023773549139,3702031810.49219,338515.224606035,Yes
51,00161577,01101,2034059353,37703222,Montgomery County,Alabama,58153,2052,36238,4502,57089,3328,67703,3827,54760,4824,47228,2405,52321,32600,110036,14941,,,44044,24676,49542,13085,80604,4489,58857,13974,90785,985,7628,858,83157,1145,8.4,0.940682997545129,2903090685.75,314570.853404692,Yes
52,00161578,01103,1501335553,50196370,Morgan County,Alabama,64858,2399,39252,12979,74693,6583,79033,7075,47557,4040,40450,5440,,,,,,,61292,14170,68438,20024,69439,2758,65676,7598,48752,501,4621,556,44131,766,9.5,1.13629868684936,2287413779.42188,219763.846247781,Yes
53,00161579,01105,1863936201,10902207,Perry County,Alabama,34368,4794,,,32000,13856,34929,12646,35871,6225,32791,3592,,,,,,,,,,,51667,13476,,,3195,195,225,149,2970,213,7,4.64368814330475,2651390391.58984,263849.820826672,Yes
54,00161580,01107,2282835044,22621093,Pickens County,Alabama,47014,3955,,,45735,19924,56895,11908,38257,6250,31633,3510,,,,,,,73250,43769,17266,3097,64017,8109,,,6946,228,597,148,6349,251,8.6,2.11196247630265,3307673719.30469,273481.370716964,Yes
55,00161581,01109,1740645369,2339145,Pike County,Alabama,47961,3371,21120,8460,47641,10427,62145,8652,48671,5819,36618,2785,108667,860,2499,,,,,,34201,18452,59443,5628,41326,15367,12605,376,1277,217,11328,401,10.1,1.69480752063944,2420437516.09766,268538.659936096,Yes
56,00161582,01111,1503618354,9283013,Randolph County,Alabama,51551,7179,54609,18890,66818,10732,58831,9539,38069,7331,41580,10156,,,,,,,,,36406,12048,59612,4690,,,9127,361,672,153,8455,355,7.4,1.65085538219539,2171211717.41406,193440.074040153,Yes
57,00161583,01113,1660652495,15564412,Russell County,Alabama,50046,3409,24800,16794,60342,8322,54393,4537,30235,4286,43364,8239,,,219792,218820,,,,,33672,24247,58608,6929,45690,25358,23784,515,1901,455,21883,690,8,1.90520613345049,2352312051.42578,253445.971504812,Yes
58,00164997,01115,1635759668,56431801,St. Clair County,Alabama,78993,3859,71752,5018,91973,7113,92961,6104,49879,4996,59743,5061,206613,44689,54361,34712,,,64718,23165,93603,22164,81042,3296,78000,13017,34477,523,3319,530,31158,700,9.6,1.53030477043458,2452093491.35156,299822.764145544,Yes
59,00161584,01117,2034281696,62286215,Shelby County,Alabama,93543,3051,55723,8100,98332,5471,118673,2837,66801,3488,73126,1592,134250,40140,104961,28402,,,64702,9047,107434,18142,100107,3926,71927,9687,85414,684,9264,770,76150,1064,10.8,0.897297709993081,3006837243.71094,302653.728688143,Yes
60,00161585,01119,2340898915,24634880,Sumter County,Alabama,37981,5607,19464,8022,41238,12575,35234,9301,40528,5939,31346,4872,,,,,,,,,56795,55874,59413,18485,,,4765,221,370,131,4395,252,7.8,2.72552256605879,3341843976.39063,370364.708843015,Yes
61,00161586,01121,1908347265,60873716,Talladega County,Alabama,56249,2242,46900,21989,59109,4355,59544,3287,43765,5958,43750,5937,,,42045,31051,,,58750,35777,51024,4835,61660,2813,56991,20994,32889,523,2125,339,30764,524,6.5,1.02560615662169,2831655045.09766,328321.912872285,Yes
62,00161587,01123,1855797991,128790986,Tallapoosa County,Alabama,57185,2897,46111,35695,56685,4188,70051,4765,42833,5006,31188,4816,,,56711,42482,,,68304,19699,46094,26758,64155,4355,41161,32612,16548,421,1432,244,15116,444,8.7,1.45796987515371,2820620541.33984,267238.897497894,Yes
63,00161588,01125,3420980038,78703449,Tuscaloosa County,Alabama,63947,2475,22001,4437,69726,3177,82516,3836,51628,4605,45591,2904,41667,27491,58854,23754,,,53295,24284,75028,16220,77176,3714,71250,13249,87289,1121,6798,761,80491,1288,7.8,0.866060667735781,5022048937.58203,349027.336707133,Yes
64,00161589,01127,2048757782,36683003,Walker County,Alabama,54509,4141,31250,15795,72696,6353,62955,6118,37896,3809,33321,10734,,,125774,44135,,,39243,18971,32426,23253,56274,3594,30202,13913,24843,544,1628,310,23215,579,6.6,1.23955802454172,3028059199.13281,288090.554689418,Yes
65,00161590,01129,2797848586,21524393,Washington County,Alabama,60503,6667,,,82072,36206,87143,18748,38728,8367,27727,7640,148479,17427,,,,,,,,,69322,16393,,,5678,329,420,162,5258,342,7.4,2.82074076061595,3882445490.8125,315920.425190954,Yes
66,00161591,01131,2299540558,50592191,Wilcox County,Alabama,42236,4455,,,39167,27042,44375,10523,42057,4874,30153,15834,,,,,,,,,37022,29720,61844,6648,,,3693,200,208,74,3485,210,5.6,1.98043890409886,3276690397.87109,319240.883179127,Yes
67,00161592,01133,1587657467,48873867,Winston County,Alabama,48032,6325,43350,6584,50489,10879,64837,9009,37691,4582,,,62750,57718,61719,46947,,,,,48750,36616,47080,6125,63485,21586,9328,300,938,193,8390,323,10.1,2.04360791675195,2395469868.11719,202009.432042844,Yes
68,01419964,02013,18094314940,20797208728,Aleutians East Borough,Alaska,72692,19158,58209,9933,63750,5546,97400,17924,58693,16664,,,52237,3458,96726,18852,44167,19906,137778,44231,87292,61651,98250,23314,81818,28587,998,92,266,49,732,96,26.7,4.25081053852572,57224898703.7422,7242527.22162055,Yes
69,01419965,02016,11377885026,25183635754,Aleutians West Census Area,Alaska,107344,14494,101250,75850,120625,27607,117500,24023,71183,3969,49583,47026,72500,33481,96484,20745,166250,46149,96250,74452,163750,43741,143021,16569,115000,22980,977,190,88,39,889,167,9,3.58696045785977,32097233159.5547,7433742.73285101,Yes
70,01416061,02020,4421121090,620772451,Anchorage Municipality,Alaska,98152,2660,48991,16340,101579,3358,122253,5390,76950,5493,76135,7869,63109,9233,96372,9314,74146,4945,84172,17316,92308,8000,108436,3712,75957,7265,107868,4224,13113,1046,94755,3735,12.2,0.844815988864281,19222870478.2188,695999.789859341,Yes
71,01419966,02050,105253430580,12735049150,Bethel Census Area,Alaska,70616,4453,63095,42511,72006,4610,74519,11580,56875,12522,110833,3011,57622,6283,67188,38776,,,,,131250,67828,167500,27166,111917,12251,4661,97,411,91,4250,121,8.8,1.94372741152097,463855357375.328,6309531.47160939,Yes
72,01419967,02060,1248248809,949842637,Bristol Bay Borough,Alaska,100625,14748,,,115000,25041,118958,24490,66875,4715,,,68750,20497,,,,,,,,,120000,17329,,,283,38,77,20,206,34,27.2,6.04953266579367,4912468165.82813,315652.123215563,Yes
73,01419988,02068,32740165566,66105677,Denali Borough,Alaska,88935,10432,,,97115,48698,112500,31583,55000,16587,,,141250,131729,,,,,,,,,89605,11244,,,533,72,108,38,425,72,20.3,6.58308740692526,166137383867.125,2084187.82332349,Yes
74,01419968,02070,47484825298,5943879883,Dillingham Census Area,Alaska,74250,7801,57083,32074,81875,14910,82143,15099,57813,16972,,,62222,8938,126000,59686,,,,,80357,18789,122500,66745,,,1383,192,261,51,1122,194,18.9,2.59506838201038,193739544672.391,3054409.09199334,Yes
75,01419969,02090,18996920890,259490619,Fairbanks North Star Borough,Alaska,84722,5460,55175,5954,90828,6093,100148,8694,74485,12279,60897,10014,59253,12665,76263,3626,,,72354,18130,88423,15166,90337,5167,76898,7268,36176,2916,4284,555,31892,3052,11.8,1.20104630860479,105839847517.828,1883222.38851903,Yes
76,01419970,02100,6069910088,1042408269,Haines Borough,Alaska,72607,10612,,,90625,20252,106154,31278,30978,18170,,,60625,53696,,,,,,,,,74000,10788,,,899,95,210,65,689,106,23.4,6.79583527355322,23599977733.3438,1766685.70493725,Yes
77,02371430,02105,16989573435,7803641230,Hoonah-Angoon Census Area,Alaska,62500,8669,25536,12445,81071,23158,71429,15313,53958,7799,,,40000,11196,,,,,,,70446,11738,85357,9155,67500,22255,922,72,181,46,741,65,19.6,4.74778813784729,64160336781.2578,5587023.40625272,Yes
78,01419971,02110,7003853675,1426248704,Juneau City and Borough,Alaska,100513,7275,61453,24365,101659,7699,121734,16609,75455,12738,,,61346,23750,97869,16192,,,87969,73822,61064,19474,109953,6419,47310,23168,13138,230,1993,332,11145,384,15.2,2.51302760767204,26558052599.8906,1493382.13054955,Yes
79,01419972,02122,41485210464,22540897216,Kenai Peninsula Borough,Alaska,77722,5508,61795,3518,96992,7726,83501,4674,56612,3887,36635,32455,58750,16116,62098,14226,153625,60689,63152,40988,69519,18454,82870,3598,60234,7668,23902,415,3528,377,20374,492,14.8,1.5563146825585,172462207794.125,7093140.72149883,Yes
80,01419973,02130,12579623384,4651597936,Ketchikan Gateway Borough,Alaska,89155,6912,47031,25263,97019,8465,93708,13041,76447,11518,95417,79868,41979,15512,99522,59121,,,,,92153,12844,93935,5933,123009,67113,5621,143,909,164,4712,198,16.2,2.88847885541302,41794713190.5938,3063704.99937873,Yes
81,01419974,02150,17325674232,14147257374,Kodiak Island Borough,Alaska,83716,11974,47213,2215,92971,16504,113401,13613,51250,18753,,,51006,25651,73462,17402,,,133194,122362,100298,46944,89095,30847,93672,9275,4608,416,682,178,3926,439,14.8,3.62440505398208,64442853606.5547,6719235.08070346,Yes
82,01419985,02158,44229459238,6686116460,Kusilvak Census Area,Alaska,48233,6286,25781,9777,42292,9020,56563,11494,49167,9393,,,44338,5266,78281,4487,,,,,55990,1173,85875,21267,,,1891,54,115,36,1776,65,6.1,1.8958171510612,213983892633.156,3035934.06228797,Yes
83,01419975,02164,61724231553,25989628379,Lake and Peninsula Borough,Alaska,64000,6855,,,67917,14615,51250,13343,70625,6491,,,49821,3501,,,,,,,71406,7126,103750,46385,,,322,49,72,22,250,40,22.4,5.92471894732206,252987464049.102,5679411.67039855,Yes
84,01419976,02170,63991627244,1445752957,Matanuska-Susitna Borough,Alaska,90625,2552,57305,2162,101250,2985,106336,4996,63422,4844,118581,22900,73295,8796,82115,20627,,,77946,18340,91579,6603,92269,2579,73008,7139,39682,319,5515,408,34167,509,13.9,1.02208577770376,298817541655.766,2494475.01301829,Yes
85,01419977,02180,59490749603,13780642800,Nome Census Area,Alaska,76643,6111,69583,21935,80054,15133,89519,18451,58971,5177,,,59551,4494,59286,30556,,,173021,28889,88750,49052,129107,44172,151500,72330,2786,92,282,101,2504,116,10.1,3.60982714783996,340534920043.953,6439812.44062598,Yes
86,01419978,02185,230052121425,15551062281,North Slope Borough,Alaska,86313,14903,,,93750,8806,117695,46632,60625,27794,199375,164839,72460,8106,,,137188,11499,,,96149,3443,141250,115335,,,2205,96,177,70,2028,113,8,3.15530763033529,1865419950325.45,9981177.81486253,Yes
87,01419979,02188,92367472818,12837268667,Northwest Arctic Borough,Alaska,81298,6397,47500,16201,87083,5528,95000,12135,62500,10222,82500,35471,67061,3135,,,,,,,103125,22559,144167,28953,,,1817,72,154,40,1663,77,8.5,2.1756617271983,624389029814.594,6502833.0235668,Yes
88,02516404,02195,7513110542,2385848260,Petersburg Borough,Alaska,77026,9342,53750,49130,81111,7970,87375,21391,64306,8899,,,57917,32590,60000,19718,,,,,73750,19453,88265,3177,88750,36259,1319,163,427,96,892,111,32.4,6.08012641164788,26887254804.5625,1817202.20139796,Yes
89,01419980,02198,13643584003,14612158683,Prince of Wales-Hyder Census Area,Alaska,59079,2977,46667,27703,77083,5343,62941,8935,54357,5143,,,60298,8257,188750,131430,,,,,59006,1597,57788,5075,58500,2646,2348,87,451,79,1897,109,19.2,3.28843101461259,48274933876.5938,6499034.91196248,Yes
90,01419981,02220,7433427535,5037735764,Sitka City and Borough,Alaska,101207,4219,54311,24970,101924,5464,103718,7808,99176,17244,,,55521,19345,78750,17254,,,104519,29209,94063,27172,102820,8806,103750,56029,3503,158,811,120,2692,168,23.2,3.26259903898489,28281310108.125,2886098.57128034,Yes
91,02339479,02230,1123980973,28784118,Skagway Municipality,Alaska,78594,14097,,,81250,37445,92321,11757,59583,26369,,,58750,57299,189167,39932,,,,,,,67969,23256,,,451,59,73,21,378,61,16.2,4.14699129038987,4387473421.77344,349777.292348831,Yes
